device_name,applicant,decision_date,k_number,decision_description,contact,product_code,country_code,year,product_description
LIFESTYLE MV2 (TM) TORIC (POLYMACON) SOFT (HYDROPHILIC) MULTIFOCAL CONTACT LENS FOR DAILY WEAR (CLEAR OR TINTED),"THE LIFESTYLE CO., INC.",2000-03-21,K000529,Substantially Equivalent,MARTIN  RIEHM,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
"SynergEyes A&M (paflufocon D hem-iberfilcon A) Hybrid Daily Wear Contact Lens, SynergEyes KC (paflufocon D hem-iberfilcon A) Hybrid Daily Wear Contact Lens, SynergEyes PS (paflufocon D hem-iberfilcon A) Hybrid Daily Wear Contact Lens, SynergEyes SiH (petrafocon A hem-larafilcon A) Hybrid Daily Wear Contact Lens, SynergEyes UltraHealth for Keratoconus (petrafocon A hem-larafilcon A) Hybrid Daily Wear Co","Synergeyes, Inc.",2016-11-15,K153714,Substantially Equivalent,Karen  Kincade,HQD,US,2016,"Lens, Contact (Other Material) - Daily"
BOSTON ES MULTIVISION (ENFLUFOCON A) CONTACT LENS,POLYMER TECHNOLOGY CORP.,1997-05-06,K970698,Substantially Equivalent,DOUGLAS J FORTUNATO,HQD,US,1997,"Lens, Contact (Other Material) - Daily"
NOVALENS/NOVAWET PERCEPTION AND VANGUARD,"OCUTEC CORPORATION, INC.",1994-08-05,K942533,Substantially Equivalent,ALAN J TOUCH,HQD,US,1994,"Lens, Contact (Other Material) - Daily"
"Si-Hy (olifilcon B) sperical silicone hydrogel soft contact lens, Si-Hy (olifilcon B) multifocal silicone hydrogel soft contact lenses, Si-Hy (olifilcon B) toric silicone hydrogel soft contact lens2/16/2016",Visco Vision Inc,2016-05-26,K160344,Substantially Equivalent,Evan  Huang,LPL,TW,2016,"Lenses, Soft Contact, Daily Wear"
"FOCUS DAILIES (NELFILCON A) ONE-DAY SOFT CONTACT LENSES, FOCUS DAILIES PROGRESSIVES (NELFILCON A) ONE-DAY SOFT CONTACT",CIBA VISION CORPORATION,2001-03-23,K010636,Substantially Equivalent,ALICIA M PLESNARSKI,MVN,US,2001,"Lens, Contact, (Disposable)"
PEDIATRIC VITRECTOMY LENS SET,"OCULAR INSTRUMENTS, INC.",1991-12-09,K914051,Substantially Equivalent,TAMSIN J ERICKSON,HJK,US,1991,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
BOSTON RGP LENSES WET SHIPPED IN BOSTOM SIMPLUS MULTI-ACTION SOLUTION AND STORED FOR UP TO 30 DAYS,"BAUSCH & LOMB, INC.",2008-02-21,K073184,Substantially Equivalent,DEBRA  KETCHUM,HQD,US,2008,"Lens, Contact (Other Material) - Daily"
"DISPOSABLE VITRECTOMY SETS, DISPOSABLE VIRECTOMY LENSES","FCI OPHTHALMICS, INC.",2003-02-26,K030054,Substantially Equivalent,HILLARD  WELCH,HJK,US,2003,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
PROSTHETIC (POLYMACON) HYDROPHILIC CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED),CL-TINTERS,1999-01-21,K984259,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
W-55 (METHAFILCON A) CLEAR AND VISIBILITY TINTED LENS BLANK AND HORIZON 55 SOFT (CLEAR) AND HORIZON 55 WESTINT (TINTED),"WESTCON CONTACT LENS CO., INC.",1999-06-29,K992010,Substantially Equivalent,CAROL  NOBLE,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
AQUAFLEX 2 (TEFILCON) CONTACT LENS,"UNILENS CORP., USA",2005-04-13,K050743,Substantially Equivalent,JOSEPHA  BRUNO,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
ACUVUE (senofilcon A) Soft Contact Lens Multifocal,"Johnson & Johnson Vision Care, Inc.",2020-03-17,K200243,Substantially Equivalent,Scott  Durland,LPL,US,2020,"Lenses, Soft Contact, Daily Wear"
VISTAKON MULTIFOCAL (ETAFILCON A) CONTACT LENS,"VISTAKON, JOHNSON & JOHNSON VISION PRODUCTS, INC.",1995-09-26,K953804,Substantially Equivalent,DENISE E MCEACHERN,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
SYNERGEYES (PAFLUCON D HEM-IBERFILCON A) HYBRID CONTACT LENS,SYNERGEYES,2005-09-02,K051035,Substantially Equivalent,RICHARD E LIPPMAN,HQD,US,2005,"Lens, Contact (Other Material) - Daily"
BARBIE (polymacon) Daily Wear Soft (Hydrophilic) Contact Lens,"Shenzhen Dashicheng Optical Technology Co., Ltd.",2022-09-08,K220143,Substantially Equivalent,Jiayi  Li,LPL,CN,2022,"Lenses, Soft Contact, Daily Wear"
MENICON Z RIGID GAS PERMEABLE CONTACT LENS,MENICON CO. LTD.,2008-09-23,K081443,Substantially Equivalent,BEVERLEY D VENUTI,HQD,US,2008,"Lens, Contact (Other Material) - Daily"
"SYNERGEYES HYBRID CONTACT LENSES - DAILY WEAR, MODELS A, M, KC AND PS","Synergeyes, Inc.",2008-05-30,K081034,Substantially Equivalent,RICHARD E LIPPMAN,HQD,US,2008,"Lens, Contact (Other Material) - Daily"
"BENZ B17 (KOLFOCON A) RIGID GAS PERMEABLE (HYDROPHOBIC DAILY WEAR CONTACT LENS (CLEAR AND TINTED, LATHE-CUT FROM LENS BL",BENZ RESEARCH AND DEVELOPMENT CORP.,1997-07-31,K963512,Substantially Equivalent,MARTIN  DALSING,HQD,US,1997,"Lens, Contact (Other Material) - Daily"
BOSTON EQUALENS II (OPRIFOCON A) RIGID GAS PERMEABLE CONTACT LENS,BAUSCH & LOMB INCORPORATED,2002-08-22,K022128,Substantially Equivalent,DEBRA L KETCHUM,HQD,US,2002,"Lens, Contact (Other Material) - Daily"
BOSTON X02 (HEXAFOCON B) RIGID GAS PERMEABLE CONTACT LENS,"BAUSCH & LOMB, INC.",2007-08-15,K071266,Substantially Equivalent,MICHAEL A SANTALUCIA,HQD,US,2007,"Lens, Contact (Other Material) - Daily"
CONTACT LENS,"AIRPERM, INC.",1994-10-28,K941883,Substantially Equivalent,NICK  STOYAN,HQD,US,1994,"Lens, Contact (Other Material) - Daily"
"Sofclear Enhance (methafilcon A) Daily Wear Contact Lens, Sofclear Colors (methafilcon A) Daily Wear Contact Lens, Sofclear Comfort (methafilcon A) Daily Wear Contact Lens",Gelflex Laboratories,2018-09-06,K181558,Substantially Equivalent,David  Masel,LPL,AU,2018,"Lenses, Soft Contact, Daily Wear"
SIMULVUE 38 (POLYMACON) SOFT (HYDROPHILIC) BIFOCAL CONTACT LENS,"UNILENS CORP., USA",1994-07-07,K942372,Substantially Equivalent,JOSEPHA  BRUNO,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
H55 HYDROPHILIC CONTACT LENS,"MARTIN S. KNOPF ASSOC., INC.",1994-07-28,K942214,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
"THE ALBERTA LENS SM2, SULFOCON B",PROGRESSIVE OPTICAL RESEARCH LTD.,2001-08-01,K010454,Substantially Equivalent,NICK  NOVICKY,HQD,CA,2001,"Lens, Contact (Other Material) - Daily"
MENICON Z BIFOCAL DESIGN LENS/MENICON Z TRIFOCAL DESIGN LENS,"MENICON U.S.A., INC.",1997-03-25,K970019,Substantially Equivalent,"S. WES  SIEGNER, JR.",LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
CALAVIEW (ETAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,INNOVA VISION INC.,2007-11-29,K073060,Substantially Equivalent,JENNIFER  REICH,MVN,US,2007,"Lens, Contact, (Disposable)"
PROCLEAR COMPATIBLES DAILY WEAR CONTACT LENS,"BIOCOMPATIBLES EYEWEAR, INC.",1997-04-03,K970095,Substantially Equivalent,SHIRLEY  MCGARVEY,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
BostonSight PD Prosthetic Device,BostonSight,2016-07-25,K161461,Substantially Equivalent,Gene  Guselli,HQD,US,2016,"Lens, Contact (Other Material) - Daily"
Hyper GP (tisilfocon A) Daily Wear Contact Lens,CONTAMAC LTD.,2018-11-23,K182304,Substantially Equivalent,Rob  McGregor,HQD,GB,2018,"Lens, Contact (Other Material) - Daily"
IGEL 56 UV (HEFILCON C) SOFT (HYDROPHILIC) CONTACT LENS,IGEL VISION CARE PTE LTD.,1999-02-16,K984523,Substantially Equivalent,JOHN M SZABOCSIK,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"INTELLIWAVE, SOFT DAILY WEAR CONTACT LENS (ACOFILCON B) HIOXIFILCON B) CLEAR AND BLUE VISIBILITY TINT","ART OPTICAL CONTACT LENS, INC.",2008-07-03,K073621,Substantially Equivalent,MARTIN  DALSING,LPL,US,2008,"Lenses, Soft Contact, Daily Wear"
Si-Hy (olifilcon B) color silicone hydrogel soft contact lens,Visco Vision Inc.,2018-04-20,K180322,Substantially Equivalent,Evan  Huang,LPL,TW,2018,"Lenses, Soft Contact, Daily Wear"
"MyDay (stenfilcon A) Soft (Hydrophilic) Daily Disposable Contact Lens, Avaira Vitality (fanfilcon A) Soft (Hydrophilic) Contact Lens","CooperVision, Inc.",2022-02-04,K220070,Substantially Equivalent,Marie  Dutton,LPL,US,2022,"Lenses, Soft Contact, Daily Wear"
AQUAIR (ENFILCON A) SOFT (HYDROPHILIC) CONTACT LENS,"COOPERVISION, INC.",2008-01-04,K071736,Substantially Equivalent,JACK P DOUGLAS,LPL,US,2008,"Lenses, Soft Contact, Daily Wear"
Tangible Hydrogel with Tangible Polymer (etafilcon A) Soft (Hydrophilic) Daily Disposable Contact Lens,Tangible Science LLC,2017-12-13,K172692,Substantially Equivalent,Vic  McCray,LPL,US,2017,"Lenses, Soft Contact, Daily Wear"
NMR-K FUNDUS LASER LENS,"OCULAR INSTRUMENTS, INC.",1991-01-28,K910231,Substantially Equivalent,TAMSIN J ERICKSON,HJK,US,1991,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
"OXYLENS TINTED, PROSTHETIC (HIOXIFILCON B) TINTED, SOFT DAILY WEAR CONTACT LENS (SIGHTED AN NON-SIGHTED EYES)","ALDEN OPTICAL LABS., INC.",1998-11-25,K983278,Substantially Equivalent,MARTIN  DALSING,LPL,US,1998,"Lenses, Soft Contact, Daily Wear"
CRYSTAL CUSTOM TINTED SOFT CONTACT LENS,"CRYSTAL REFLECTIONS, INT., INC.",2000-04-14,K993489,Substantially Equivalent,JACK  CARTER,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
SYNERGEYES PS HYBRID CONTACT LENS,"Synergeyes, Inc.",2006-03-15,K060102,Substantially Equivalent,RICHARD E LIPPMAN,HQD,US,2006,"Lens, Contact (Other Material) - Daily"
PROCLEAR TORIC XR SOFT (HYDROPHILIC) CONTACT LENS; PROCLEAR MULTIFOCAL XR SOFT (HYDROPHILIC) CONTACT LENS; PROCLEAR MULT,"COOPERVISION, INC.",2011-06-29,K110099,Substantially Equivalent,SARAH  HARRINGTON,LPL,US,2011,"Lenses, Soft Contact, Daily Wear"
DYNA INTRA-LIMBAL LENS,"LENS DYNAMICS, INC.",2002-03-29,K020006,Substantially Equivalent,AL  VASKE,HQD,US,2002,"Lens, Contact (Other Material) - Daily"
HDS HI 1.54,PARAGON VISION SCIENCES,2009-01-27,K082799,Substantially Equivalent,WILLIAM  MEYERS,HQD,US,2009,"Lens, Contact (Other Material) - Daily"
"Focus DAILIES / Focus DAILIES Toric / Focus DAILIES Progressives, DAILIES AquaComfort Plus (DACP) / DACP FreshTech / DACP Toric / DACP Multifocal","Alcon Laboratories, Inc.",2020-08-21,K202036,Substantially Equivalent,Sherri  Lakota,MVN,US,2020,"Lens, Contact, (Disposable)"
BOSTON(R) 7 - 30(ENFLUFOCON A),POLYMER TECHNOLOGY CORP.,1994-08-25,K943177,Substantially Equivalent,DEBRA L.B.  KETCHUM,HQD,US,1994,"Lens, Contact (Other Material) - Daily"
"Optimum GP with HPT (roflufocon A, B, C, D, and E) Daily Wear Contact Lenses",CONTAMAC LTD.,2016-08-10,K161100,Substantially Equivalent,ROB  MCGREGOR,HQD,GB,2016,"Lens, Contact (Other Material) - Daily"
"Visionary Optics Scleral Contact Lens (roflufocon D, roflufocon E, hexafocon A, hexafocon B)",Visionary Optics LLC,2017-08-16,K171950,Substantially Equivalent,Donald R. Sanders,HQD,US,2017,"Lens, Contact (Other Material) - Daily"
"FLUOROPERM 92, 60, 30 AND 151 AND PARAGON HDS, HDS 100 AND THIN RIGID GAS PERMEABLE CONTACT LENSES",PARAGON VISION SCIENCES,2007-05-01,K070637,Substantially Equivalent,WILLIAM E MEYERS,HQD,US,2007,"Lens, Contact (Other Material) - Daily"
ACTIFRESH 400 LENS,HYDRON LTD.,1999-12-10,K983637,Substantially Equivalent,JULIAN B HOLLOWAY,LPL,GB,1999,"Lenses, Soft Contact, Daily Wear"
FP(HEXAFOCON A)RGP CONTACT LENS SPHERICAL/ASP(HEXAFOCON A)RGP CONTACT LENS ASPHERICAL,"LUCID KOREA CO., LTD",2002-10-11,K021752,Substantially Equivalent,DONG KUN  LEE,HQD,KR,2002,"Lens, Contact (Other Material) - Daily"
HORIZON 55 BI-CON TORIC,"WESTCON CONTACT LENS CO., INC.",1995-03-21,K950818,Substantially Equivalent,MARTIN  DALSING,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
PROCLEAR DAILY WEAR CONTACT LENS,BIOCOMPATIBLES LTD.,1995-07-27,K952152,Substantially Equivalent,Neil  McLachlan,LPL,GB,1995,"Lenses, Soft Contact, Daily Wear"
GELFLEX ALPHA (POLYMACON) HYDROPHILIC CONTACT LENS,GELFLEX LABORATORIES,1996-09-05,K962711,Substantially Equivalent,PETER G BRYANT,LPL,AU,1996,"Lenses, Soft Contact, Daily Wear"
"HD/HDT, (POLYMACON) SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED, FULLY CAST-MOLDED LENS)","POLY VUE TECHNOLGIES, INC.",2002-05-16,K020608,Substantially Equivalent,DEANNA  WERBER,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
"BOSTON ES (ENFLUFOCON A), BOSTON EO (ENFLUFOCON B) AND BOSTON XO (HEXAFOCON A) RIGID GAS PERMEABLE CONTACT LENSES",BAUSCH & LOMB INCORPORATED,2006-01-30,K053124,Substantially Equivalent,LISA  GRANEY,HQD,US,2006,"Lens, Contact (Other Material) - Daily"
"Bausch + Lomb (Kalifilcon A) Soft Contact Lens, Bausch + Lomb (Kalifilcon A) Soft Contact Lens for astigmatism","Bausch + Lomb, Incorporated",2020-06-02,K200528,Substantially Equivalent,Barbara  Klube-Falso,LPL,US,2020,"Lenses, Soft Contact, Daily Wear"
SOFT-55 DAILY WEAR CONTACT LENS,"LOMBART LENSES, LTD.",1996-05-21,K961428,Substantially Equivalent,LISA  HAHN,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
BIOMEDICS 55 (OCUFILCON D) UV BLOCKING SOFT (HYDROPHILIC) CONTAC LENS,"OCULAR SCIENCES PUERTO RICO, INC.",1999-01-21,K984046,Substantially Equivalent,RICHARD E LIPPMAN,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
"PAFLUFOCON A, B, C & D",PARAGON VISION SCIENCES,1994-05-09,K940277,Substantially Equivalent,DUANE  TRACY,HQD,US,1994,"Lens, Contact (Other Material) - Daily"
SOFT K. AND SOFT K. TORIC (XYLOFICON A) SOFT (HYDROPHILLIC) KERATOCONUS CONTACT LENS FOR DAILY WEAR,SOFLEX CONTACT LENS INDUSTRIES LTD.,2002-05-24,K020642,Substantially Equivalent,Kevin  Walls,LPL,US,2002,"Lenses, Soft Contact, Daily Wear"
SAVIEW 55 MULTIFOCAL (METHAFILCON A) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,"ST. SHINE OPTICAL CO., LTD.",2003-04-04,K030548,Substantially Equivalent,GAROLD L EDWARDS,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
LIFESTYLE 55 (OCUFILCON D) HYDROPHILIC CONTACT LENS LIFESTYLE FREQUENCY 55 (OCUFILCON D) GHYDROPHILIC CONTACT LENS,"PERMEABLE TECHNOLOGIES, INC.",1995-11-17,K951893,Substantially Equivalent,MARK K TYSON,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
RIGID GAS PERMEABLE CONTACT LENS,POLYMER TECHNOLOGY,2000-05-26,K000795,Substantially Equivalent,DEBRA L.B.  KETCHUM,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
"HORIZON/WESTHIN 38 SOFBLU (POLYMACON) SOFT (SPHERICAL & TORIC) DAILY WEAR CONTACT LENS (TINTED, LATHE-CUT FROM LENS BLAN","WESTCON CONTACT LENS CO., INC.",1996-12-20,K963837,Substantially Equivalent,BERNICE  BARNARD,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
ACUVUE (senofilcon C) Soft Contact Lens,"Johnson & Johnson Vision Care, Inc.",2016-03-28,K160212,Substantially Equivalent,Ramona  Haile,LPL,US,2016,"Lenses, Soft Contact, Daily Wear"
"POLYVUE (polymacon) Soft (hydrophilic) Contact Lens, POLYVUE COLOR (polymacon) Soft (hydrophilic) Contact Lens",Interojo Inc.,2022-10-04,K221517,Substantially Equivalent,Si-Chul  Rho,LPL,KR,2022,"Lenses, Soft Contact, Daily Wear"
"FLUROPERM 60-OK, PARAGON HDS-OK",PARAGON VISION SCIENCES,2000-04-17,K000224,Unknown,WILLIAM E MEYERS,MUW,US,2000,"Lens, Contact (Orthokeratology)"
Eye Secret 55 UV Aspheric (Methafilcon A) Soft (hydrophilic) Contact Lens,"YUNG SHENG OPTICAL CO., LTD.",2015-08-10,K151586,Substantially Equivalent,WEN-HAN  CHEN,LPL,TW,2015,"Lenses, Soft Contact, Daily Wear"
INTELLIWAVE3,"ART OPTICAL CONTACT LENS, INC.",2010-09-14,K100221,Substantially Equivalent,MARTIN  DALSING,LPL,US,2010,"Lenses, Soft Contact, Daily Wear"
"QUASAR-QUASAR PLUS-QUASAR TORIC (HYBUFOCON A, HEXAFOCON A, PAFLUFOCON B) RIGID GAS PERMEABLE (RGP) DAILY WEAR CONTACT LE",NO 7 CONTACT LENS LABORATORY LTD.,2003-08-29,K032256,Substantially Equivalent,MARTIN  DALSING,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
MANDELKORN SUTURE LYSIS LENS,"OCULAR INSTRUMENTS, INC.",1994-11-08,K933976,Substantially Equivalent,TAMSIN J ERICKSON,HJK,US,1994,"Lens, Contact, Polymethylmethacrylate, Diagnostic"
ALLURE (METHAFILCON A) SOFT (HYDROPHILIC) DAILY WEAR CONTACT LENS,SUNSOFT CORP.,1995-04-13,K942374,Substantially Equivalent,JAMES B WILLIAMS,LPL,US,1995,"Lenses, Soft Contact, Daily Wear"
"Acuity 100 (hexafocon A) with Tangible Hydra-PEG®, TYRO-97 (hofocon A) with Tangible Hydra-PEG® Rigid Gas Permeable Contact Lens","Acuity Polymers, Inc.",2023-06-16,K230965,Substantially Equivalent,Chavez  Jose,HQD,US,2023,"Lens, Contact (Other Material) - Daily"
SOFLENS ONE DAY PLUS DISPOSABLE (HILAFILCON B) VISIBILITY TINTED CONTACT LENS,BAUSCH & LOMB,2006-06-22,K061157,Substantially Equivalent,DEBRA  KETCHUM,MVN,US,2006,"Lens, Contact, (Disposable)"
"Clariti 1 day Multifocal (somofilcon A) Soft (Hydrophilic), Daily Disposable Contact Lens with UV Blocker","CooperVision, Inc.",2024-01-25,K234127,Substantially Equivalent,Sahana  Rajashekar,LPL,US,2024,"Lenses, Soft Contact, Daily Wear"
DAILY WEAR SOFT (HYDROPHILIC) CONTACT LENS,"STEPHEN A. DUNN, INC.",1996-02-14,K953807,Substantially Equivalent,STEPHEN A DUNN,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
FluoroPerm 30 & Paragon Thin (paflufocon C) RGP contact lenses with Tangible Hydra-PEG; FluoroPerm 60 & Paragon HDS (paflufocon B) RGP contact lenses with Tangible Hydra-PEG; FluoroPerm 92 (paflufocon A) RGP contact lenses with Tangible Hydra-PEG; FluoroPerm 151 & Paragon HDS 100 (paflufocon D) RGP contact lenses with Tangible Hydra-PEG,Paragon Vision Sciences,2018-03-16,K180172,Substantially Equivalent,Rich  Jefferies,HQD,US,2018,"Lens, Contact (Other Material) - Daily"
BIOCURVE SOFT (HIOXIFILCOM A) SPHERICAL AND TORIC SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND BLUE VISIBILITY-HANDLING T,"AMERICAN CONTACT LENS, INC.",2001-06-13,K011316,Substantially Equivalent,MARTIN  DALSING,LPL,US,2001,"Lenses, Soft Contact, Daily Wear"
ACCUCON,"INNOVISION, INC.",1994-12-07,K944223,Substantially Equivalent,DON M WOODFORD,HQD,US,1994,"Lens, Contact (Other Material) - Daily"
PROCLEAR ULTRAVUE MULTIFOCAL AND PROCLEAR ULTRAVUE 2000T MULTIFOCAL TORIC (OMAFLICON A) SOFT (HYDROPHILIC CONTACT LENS),OPTI-CENTRE LABORATORIES,2005-01-12,K043129,Substantially Equivalent,BONNIE  TSYMBAL,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
LIFESTYLE 4-VUE (POLYMACON) HYDROPHILIC MULTIFOCAL CONTACT LENS FOR DAILY WEAR,"PERMEABLE TECHNOLOGIES, INC.",1997-03-11,K963001,Substantially Equivalent,MARTIN S KNOPF,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
BAUSCH & LOMB MEDALIST 66 (ALPHAFILCON A) VISIBILITY TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",1994-05-27,K941370,Substantially Equivalent,MICHAEL  SANTALUCIA,LPL,US,1994,"Lenses, Soft Contact, Daily Wear"
"OSCULAR SCIENCES/ AMERICAN HYDRON, INC  DAILY WEAR SOFT CONTACT LENS","OCULAR SCIENCES PUERTO RICO, INC.",1997-08-20,K972303,Substantially Equivalent,DAVID  MARCUS,LPL,US,1997,"Lenses, Soft Contact, Daily Wear"
POWER PLUS (POLYMACON) SOFT (HYDROPHILIC) ASPHERIC CONTACT LENS,"UNILENS CORP., USA",1996-04-10,K960926,Substantially Equivalent,JOSEPHA  BRUNO,LPL,US,1996,"Lenses, Soft Contact, Daily Wear"
MENICON Z,"MENICON U.S.A., INC.",2000-05-19,K000133,Substantially Equivalent,BEVERLY D VENUTI,HQD,US,2000,"Lens, Contact (Other Material) - Daily"
AQUASOFT ALL-DAY & ALL-DAY T (HIOXIFILCON A) DAILY WEAR CONTACT LENS,CLEARLAB PTE LTD.,2006-05-15,K052290,Substantially Equivalent,MARTIN  DALSING,LPL,US,2006,"Lenses, Soft Contact, Daily Wear"
Ultra (samfilcon A) Multifocal for Astigmatism Contact Lens,Bausch & Lomb Incorporated,2018-11-30,K182249,Substantially Equivalent,Barbara  Klube-Falso,LPL,US,2018,"Lenses, Soft Contact, Daily Wear"
MAXSIGHT (POLYMACON) SPORT-TINTED CONTACT LENS,"BAUSCH & LOMB, INC.",2005-04-26,K050157,Substantially Equivalent,LISA  GRANEY,LPL,US,2005,"Lenses, Soft Contact, Daily Wear"
GLITTER EYES (TEFILCON) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR,CIBA VISION CORPORATION,2000-12-13,K003071,Substantially Equivalent,TERRINA  WILDER,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
MENICON SF-P AND MENICON Z RIGID GAS PERMEABLE CONTACT LENS,"MENICON U.S.A., INC.",1997-08-22,K972443,Substantially Equivalent,CRISTINA M SCHNIDER,HQD,US,1997,"Lens, Contact (Other Material) - Daily"
"Bausch + Lomb (kalifilcon A) Soft (hydrophilic) Contact Lens, Bausch + Lomb (kalifilcon A) Soft (hydrophilic) Contact Lens for Astigmatism, and, Bausch + Lomb (kalifilcon A) Soft (hydrophilic) Contact Lens for Presbyopia",Bausch & Lomb Incorporated,2023-03-08,K220613,Substantially Equivalent,Barbara  Klube-Falso,LPL,US,2023,"Lenses, Soft Contact, Daily Wear"
MARTIN-HENSLEY SEGMENT LENS,BRUCE W. MARTIN O.D. AND EDWARD HENSLEY,1990-06-22,K897021,Substantially Equivalent,"MARTIN,  OD",HPX,US,1990,"Lens, Contact (Polymethylmethacrylate)"
ACTITORIC (OCUFILCON A) SOFT (HYDROPHILIC) TORIC CONTACT LENS FOR DAILY WEAR,HYDRON LTD.,1999-02-18,K983160,Substantially Equivalent,JULIAN B HOLLOWAY,LPL,GB,1999,"Lenses, Soft Contact, Daily Wear"
Saview SH 38 UV (Senofilcon A) Visibility Tinted Soft (Hydrophilic) Contact Lens; Saview SH 38 UV toric (Senofilcon A) Visibility Tinted Soft (Hydrophilic) Contact Lens; Saview SH 38 UV multifocal (Senofilcon A) Visibility Tinted Soft (Hydrophilic) Contact Lens,"St. shine Optical Co., Ltd.",2024-07-01,K240477,Substantially Equivalent,Mina  Lee,LPL,TW,2024,"Lenses, Soft Contact, Daily Wear"
"CONTAFLEX 38 (POLYMACON) SPHERICAL SOFT CONTACT LENS FOR DAILY WEAR (CLEAR AND TINTED, LATHE-CUT)",CONTAMAC LTD.,2003-02-26,K023987,Substantially Equivalent,MARTIN  DALSING,LPL,US,2003,"Lenses, Soft Contact, Daily Wear"
"DREAM COLOR I (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS, DREAM COLOR II (POLYMACON) SOFT (HYDROPHILIC) CONTACT LENS, D","DREAMCON CO., LTD",2013-06-17,K123431,Substantially Equivalent,ALBERT  REGO,LPL,US,2013,"Lenses, Soft Contact, Daily Wear"
CUSTOM PROSTHETIC (HEFILCON A) SOFT LENS,PROSTHETIC SOFT LENS CORP.,1999-11-18,K992950,Substantially Equivalent,WILLIAM  HOFFMAN,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
ESSTECH MULTI TORIC ASPHERIC (MULTIFOCAL) (HIOXIFILCON B) SOFT (HYDROPHILIC) CONTACT LENS FOR DAILY WEAR (CLEAR AND TINT,LES LABORATOIRES BLANCHARD,2000-12-15,K003161,Substantially Equivalent,JOHN M SZABOCSIK,LPL,US,2000,"Lenses, Soft Contact, Daily Wear"
"RESOLUTION 45 (SPHERICAL) AND ULTRA GEL (TORIC) (HIOXIFILCON B) SOFT DAILY WEAR CONTACT LENS, )CLEAR & BLUE VISIBILITY T",OPTI-CENTRE LABORATORIES,1999-03-29,K983496,Substantially Equivalent,MARTIN  DALSING,LPL,US,1999,"Lenses, Soft Contact, Daily Wear"
MULTI-VIEW BIFOCALS,CAMP CONTACT LENSES,1991-10-23,K913081,Substantially Equivalent,RICHARD N CAMP,HPX,US,1991,"Lens, Contact (Polymethylmethacrylate)"
MENICON Z (TISILFOCON A) RIGID GAS PERMEABLE CONTACT LENS,MENICON CO. LTD.,2011-02-03,K103561,Substantially Equivalent,BEVERLEY D VENUTI,HQD,US,2011,"Lens, Contact (Other Material) - Daily"
"CONCISE, SILICONE HYDROGEL DAILY WEAR SOFT CONTACT LENS (EFROFILCON A)","ABBCONCISE OPTICAL GROUP, LLC",2011-11-08,K111267,Substantially Equivalent,MARTIN  DALSINGH,LPL,US,2011,"Lenses, Soft Contact, Daily Wear"
Acuity 200 with Tangible Hydra-PEG (fluoroxyfocon A) Rigid Gas Permeable Contact Lens,"Acuity Polymers, Inc.",2021-12-30,K213538,Substantially Equivalent,James A Bonafini,HQD,US,2021,"Lens, Contact (Other Material) - Daily"
CHROMAGEN V2.0 HAPLOSCOPIC SYSTEM & COLOR VISION ENHANCEMENT SOFT CONTACT LENSES,CANTOR & SILVER LTD.,2000-10-20,K994320,Substantially Equivalent,MARTIN  DALSING,NCZ,US,2000,"Lens, Contact, For Color Vision Deficiency"
